"Name","Phone","Email","Website","Address","Instagram","Facebook","Twitter","Linkedin","Yelp","Youtube","PlaceID","CID","Category","ReviewCount","AverageRating","Latitude","Longitude","1_Monday","2_Tuesday","3_Wednesday","4_Thursday","5_Friday","6_Saturday","7_Sunday"
"Yadu Nandan Fashions ( YNF ) - Sarees From Top Wholesale Manufacturer","070434 57060","yadunandanfashion@gmail.com","https://ynfonline.com/","U-1216, Ring Rd,Surat Textile Market, Moti Begumwadi, New Textile Market,Surat, Gujarat 395002","https://www.instagram.com/yadunandanfashions","https://www.facebook.com/yadunandanfashions","","","","https://www.youtube.com/@KEEVAAEXPORTS","ChIJE5SjG05O4DsR-cH6OhmKd5o","-7316227228671753735","Clothing manufacturer;Clothing supplier;Clothing wholesaler;Exporter;Jewelry Exporter;Jewelry manufacturer;Textile Exporter;Wholesale jeweler;Wholesaler","1358","4.7","21.1899501","72.8433065","10 am–6:30 pm","10 am–6:30 pm","10 am–6:30 pm","10 am–6:30 pm","10 am–6:30 pm","10 am–6:30 pm","Closed"
"Sarees Wholesale","092278 28195","sareeswholesale7@gmail.com","https://www.sareeswholesale.com/","G-5, Shree Kuberji Textile Park-2,, Behind,Ring Rd,Surat, Gujarat 395003","https://www.instagram.com/sareeswholesale7","https://www.facebook.com/sareeswholesale7","https://twitter.com/sareeswholesal1","","","https://www.youtube.com/channel/UCieUvl5Yjbr7OcF3QaBksOw","ChIJX1UV_FdO4DsRAP_yIZ17T2o","7660477405990158080","Clothes and fabric manufacturer;Textile Exporter","33","4.1","21.200591","72.840193","9 am–7 pm","9 am–7 pm","9 am–7 pm","9 am–7 pm","9 am–7 pm","9 am–7 pm","Closed"
"Art Silk Saree Manufacturer-Best saree collection in surat","094287 40132","","","G.I, industry estate,Gate no-4 Road no-12 plot no -67 Laxmi textile park,Azad Nagar Road, near Manju dyeing ki gali, D.C, bhatar, Sachin,Surat, Gujarat 394230","","","","","","","ChIJIW5I0LlR4DsR8qrZWxtFOgI","160516720532499186","Manufacturer","43","5","21.0800405","72.8585042","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours"
"Saree Market","093289 68907","","http://sareemarket.co.in/","Rohit A.C Market, Moti Begumwadi, New Textile Market,Surat, Gujarat 395003","","","","","","","ChIJmc9kT0tP4DsRW4IzrWNRsg4","1058998350934934107","Saree Shop;Clothing store;Manufacturer","38","4","21.1916266","72.8418726","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","Closed"
"Ranjna Ronisha Sarees","098255 59337","","http://ronishasarees.com/","543 5th Floor,Millennium Textile Market, 2,Surat, Gujarat 395002","","","","","","","ChIJ70B0GlFO4DsR6Lk5pWXArq8","-5787476928328255000","Store;Saree Shop","67","4.9","21.1843535","72.8464369","11 am–9 pm","11 am–9 pm","11 am–9 pm","11 am–9 pm","11 am–9 pm","11 am–9 pm","Closed"
"saurya life style","080 4606 0582","","https://www.sauryalifestyle.com/","sanskruti AC market,new, Godadara Rd,near Capital Square, Shakti Nagar,Surat, Gujarat 395012","","https://www.facebook.com/sharer.php?u=https://www.sauryalifestyle.com/","https://twitter.com/share?url=https://www.sauryalifestyle.com/","https://www.linkedin.com/cws/share?url=https://www.sauryalifestyle.com/","","","ChIJTSGIMjpP4DsR1CDY6_OA06I","-6713880834357059372","Clothing store","28","4.6","21.184911","72.87143669999999","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours"
"Asopan Saree","063541 60700","","","Gate no. 2,Asopan A-21/23,Bombay Market, Umarwada,Surat, Gujarat 395010","","","","","","","ChIJq6qqHlVO4DsRFhCObraAxj0","4451386802729521174","Bridal shop;Dress store;Saree Shop","218","4.7","21.198244","72.84952799999999","9:30 am–8:30 pm","9:30 am–8:30 pm","9:30 am–8:30 pm","9:30 am–8:30 pm","9:30 am–8:30 pm","9:30 am–8:30 pm","Closed"
"Shiv Gauri Saree","082000 50776","","","101,Rathi Palace,Ring Rd, nr. Millenium -1, New Textile Market,Surat, Gujarat 395002","","","","","","","ChIJXypLRllP4DsRRSEDX5zNAnM","8287412335807766853","Wholesaler","297","4.9","21.186506299999998","72.83936659999999","10 am–9 pm","10 am–9 pm","10 am–9 pm","10 am–9 pm","10 am–9 pm","10 am–9 pm","Closed"
"Riddhi Siddhi Fashion/uniform saare manufacturers/dailywearsaare manufacturers/cottonsaares manufacturers","093140 40131","","https://www.indiamart.com/riddhisiddhifashion-surat/","Z 3189, Swadeshi Market Ring Rd,Surat Textile Market, New Textile Market,Surat, Gujarat 395002","","https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.indiamart.com%2Friddhisiddhifashion-surat%2F","https://twitter.com/share?url=https%3A%2F%2Fwww.indiamart.com%2Friddhisiddhifashion-surat%2F","https://www.linkedin.com/cws/share?url=https%3A%2F%2Fwww.indiamart.com%2Friddhisiddhifashion-surat%2F","","","ChIJR6tSaxBP4DsRLfzsTc7PM04","5635076043748211757","Manufacturer","69","4.9","21.188683599999997","72.84482059999999","10 am–9 pm","10 am–12 am","12–9 am, 10 am–9 pm","10 am–9 pm","10 am–9 pm","10 am–9 pm","Closed"
"Tarun Fab","087990 64405","","https://tarunfab.com/","HTC Market,G-109, Mithi Khadi Rd,Anjana, Shanti Nagar, Yamuna Nagar,Surat, Gujarat 395002","https://www.instagram.com/tarunfabofficial,https://www.instagram.com/tarunfabofficial?r=nametag","https://www.facebook.com/tarunfabofficiall","","","","https://www.youtube.com/@TarunFab","ChIJOTzOm0xO4DsRuyzzreCzP_k","-486472457160282949","Clothing manufacturer;Clothing supplier","26","4.9","21.1851505","72.8502586","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–2 pm"
"Keshav Madhav Fashion (Surat Saree manufacturer, Silk Saree, Cotton Saree, Printed Saree, Fancy Saree)","093773 41455","","https://keshavmadhavfashion.com/","SHOP NO 7143 MILLENIUM TEXTILE MARKET-4,Bhatena,Surat, Gujarat 394210","","","","","","","ChIJ0WIBXWRP4DsRnixfbMDkGIk","-8567846775969338210","Manufacturer;Clothing manufacturer;Clothing wholesale market place;Clothing wholesaler;Garment Exporter;Saree Shop;Wholesale market;Wholesaler;Women's clothing store","257","4.9","21.177504799999998","72.8481393","10:30 am–7 pm","10:30 am–7 pm","10:30 am–7 pm","10:30 am–7 pm","10:30 am–7 pm","10:30 am–7 pm","Closed"
"Mali Sarees - Darbari Saree Wholesale Shop Surat","098251 43419","","","Shop No: 1056, 1st Floor,Abhishek Market Ring Rd,Abhishek Market, New Textile Market,Surat, Gujarat 395002","","","","","","","ChIJ7_ezz09O4DsRbMMfP0IS6Z4","-6996040470407167124","Clothing store;Manufacturer;Saree Shop;Wholesaler","42","4.8","21.189160299999998","72.84500659999999","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","Closed"
"Laavsee","076983 85113","dmca@telegram.org,security@telegram.org,grievance-in@telegram.org","http://www.laavsee.com/","Shop no-119 ,1st floor,Shri Punjan Plaza,Dumbhal, Model Town Rd, near SMC Limbayat Zone, opp. Fire Station, Kailash Nagar Society, Parvat Patiya,Surat, Gujarat 395010","https://www.instagram.com/laavsee","","https://x.com/telegram,https://x.com/telegram_es,https://x.com/telegram_it,https://x.com/telegram_kr,https://x.com/de_telegram,https://x.com/telegram_br,https://x.com/telegram_arabic,https://x.com/smstelegram","","","","ChIJqeX8bGtP4DsRDVFATL67RLI","-5601145610544590579","Saree Shop","86","4.8","21.1838704","72.8606988","11 am–5 pm","11 am–5 pm","11 am–5 pm","11 am–5 pm","11 am–5 pm","11 am–5 pm","Closed"
"Vasudev Sarees","091110 20260","","","515, Ring Rd,Sai Asharam Market, Moti Begumwadi, New Textile Market,Surat, Gujarat 395003","","","","","","","ChIJRZamj0hP4DsRwjIThC9yaGI","7091043161699726018","Saree Shop","157","4.6","21.191933","72.841855","9 am–7:30 pm","9 am–7:30 pm","9 am–7:30 pm","9 am–7:30 pm","9 am–7:30 pm","9 am–7:30 pm","Closed"
"Sasta Saree","","","","2017, N.S.T.M,Surat - Kadodara Rd,Surat, Gujarat 395010","","","","","","","ChIJ-5_UXvJP4DsRjl308ERkRUw","5495909167538658702","Saree Shop;Manufacturer;Outlet store;Silk store","93","4.8","21.1919787","72.85261009999999","10:30 am–6 pm","10:30 am–6 pm","10:30 am–6 pm","10:30 am–6 pm","10:30 am–6 pm","10:30 am–6 pm","Closed"
"SURAT WHOLESALE SAREE (Hanuman Textile)","082003 83001","","","SHOP NO- 2004,Sai Aashram Market,Ring Rd, opposite HARIOM MARKET, behind Shiv Shakti Sweets, Begumwadi, Moti Begumwadi, New Textile Market,Surat, Gujarat 395003","","","","","","","ChIJa1qwWFBO4DsR1RenwgXCjjc","4003350448775305173","Clothing store;Wholesale market","160","4.2","21.192045099999998","72.84187109999999","9:30 am–8 pm","9:30 am–8 pm","9:30 am–8 pm","9:30 am–8 pm","9:30 am–8 pm","9:30 am–8 pm","Closed"
"Anula Sarees | Saree Manufacturer | Surat","096386 38610","","","G1 to 4 , Emporio Textile Hub, Falsawadi,Ring Rd,near Golden Point, Begampura,Surat, Gujarat 395003","","","","","","","ChIJJwbxNpFP4DsREEqMTqEL7hY","1652270900727007760","Saree Shop;Bridal shop;Clothing manufacturer;Clothing store;Clothing supplier;Clothing wholesale market place;Clothing wholesaler;Designer Clothing Store;Manufacturer;Wholesaler","106","4.3","21.198362","72.8393148","9 am–8:30 pm","9 am–8:30 pm","9 am–8:30 pm","9 am–8:30 pm","9 am–8:30 pm","9 am–8:30 pm","Closed"
"Kartik Sarees Pvt Ltd","098257 66644","","https://www.instagram.com/kartik.sarees/?hl=en","84 Millenium,D 1183, Textile Market Ring Rd,Jay Laxmi Market, Moti Begumwadi, New Textile Market,Surat, Gujarat 395007","https://www.instagram.com/rsrc.php,https://www.instagram.com/kartik.sarees,https://www.instagram.com/_u","","","","","","ChIJhe169ftP4DsRdY4EmXaPiZc","-7527327562636947851","Saree Shop;Boutique;Clothes and fabric manufacturer;Clothes and fabric wholesaler;Clothing manufacturer;Clothing store;Clothing wholesaler;Designer Clothing Store;Fabric wholesaler;Women's clothing store","68","4.7","21.193573999999998","72.8402006","10 am–8:30 pm","10 am–8:30 pm","10 am–8:30 pm","10 am–8:30 pm","10 am–8:30 pm","10 am–8:30 pm","Closed"
"Sonakshi Sarees","063510 12044","info@sonakshisarees.com","https://www.sonakshisarees.com/","Shop No.A-70,Ring Rd,near Regent Market, behind Kohinoor House, Kohinoor Textile Market, Begampura,Surat, Gujarat 395002","","https://www.facebook.com/sharer,https://www.facebook.com/sharer/sharer.php?u=https://sonakshisarees.com/,https://www.facebook.com/sharer/sharer.php?u=https://sonakshisarees.com/about-us/,https://www.facebook.com/sharer/sharer.php?u=https://sonakshisarees.com/contact-us/,https://www.facebook.com/sharer/sharer.php?u=https://sonakshisarees.com/return-policy/","https://x.com/share?url=https://sonakshisarees.com/,https://x.com/share?url=https://sonakshisarees.com/about-us/,https://x.com/share?url=https://sonakshisarees.com/contact-us/,https://x.com/share?url=https://sonakshisarees.com/return-policy/","https://www.linkedin.com/shareArticle?mini=true&url=https://sonakshisarees.com/,https://www.linkedin.com/shareArticle?mini=true&url=https://sonakshisarees.com/about-us/,https://www.linkedin.com/shareArticle?mini=true&url=https://sonakshisarees.com/contact-us/,https://www.linkedin.com/shareArticle?mini=true&url=https://sonakshisarees.com/return-policy/","","","ChIJ1bXyt4JP4DsRevoSuyJHh-g","-1691304920561288582","Manufacturer;Clothing manufacturer;Clothing wholesaler;Saree Shop;Wholesaler","64","4.9","21.1940407","72.8351378","10:30 am–8:30 pm","10:30 am–8:30 pm","10:30 am–8:30 pm","10:30 am–8:30 pm","10:30 am–8:30 pm","10:30 am–8:30 pm","Closed"
"Rajbanni Textile Hub","099748 15558","","","1st Floor, Union Square,Rajbanni Textile Hub,nr. New Bombay Market, Umarwada,Surat, Gujarat 395010","","","","","","","ChIJL5OOTy9P4DsRYamhX5hYQjg","4053900026049571169","Clothing manufacturer;Clothing supplier;Clothing wholesaler;Wedding store;Women's clothing store","146","4.5","21.194471399999998","72.8480845","9:30 am–7:30 pm","9:30 am–7 pm","9:30 am–7:30 pm","9:30 am–7:30 pm","9:30 am–7:30 pm","9:30 am–7:30 pm","9:30 am–7:30 pm"
"Radha Rani Textiles I Wholeasale Textile Saree Market","099980 31670","","https://www.instagram.com/radharani_rrt/","Shop No 212-213, 2nd Floor,New Supreme Market,near Adarsh Market-2, Ring Road, Adarsh Market-2, Ring Road, Moti Begumwadi, New Textile Market,Surat, Gujarat 395003","https://www.instagram.com/rsrc.php,https://www.instagram.com/radharani_rrt,https://www.instagram.com/_u","","","","","","ChIJKRpxAmtP4DsRRARGgNAi60Y","5110216481082573892","Clothing wholesale market place;Manufacturer;Wholesale market","116","4.9","21.190813","72.841486","9:30 am–7 pm","9:30 am–7 pm","9:30 am–7 pm","9:30 am–7 pm","9:30 am–7 pm","9:30 am–7 pm","Closed"
"सूरत लोट सोट","093748 03628","","","Shop no. G-101 ground floor,opp. New Bombay market,Sahara Darwaja, Begampura,Surat, Gujarat 395010","","","","","","","ChIJP4Z9OtlP4DsRd0iPUkauEp8","-6984328455042152329","Saree Shop","33","4.7","21.1932019","72.8503708","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","Closed"
"Kapoor Lehenga","074095 55455","kapoorlehengasaree111@gmail.com,support@kapoorlehengasaree.com","http://kapoorlehengasaree.com/","101 basement , millennium textile market,Ring Rd,Kamela Darwaja,Surat, Gujarat 395002","https://www.instagram.com/kapoorlehengasaree","https://www.facebook.com/KAPOORLEHENGASAREE","","","","https://www.youtube.com/@kapoorlehengasaree","ChIJM6SnX31P4DsRvszuyiwtUvM","-913618103996330818","Clothing store;Clothing manufacturer;Clothing wholesaler","605","4.7","21.188340999999998","72.84071949999999","11 am–10 pm","11 am–10 pm","11 am–10 pm","11 am–10 pm","11 am–10 pm","11 am–10 pm","12–7 pm"
"Leeza Store","093750 09817","aditya@tradeindia.com,grievances@tradeindia.com,helpdesk@tradeindia.com,legal@tradeindia.com","http://leezastorewholesale.com/","510,Aashirwad Complex,near Krishna Petrol Pump, Udhana Darwaja, Sagrampura,Surat, Gujarat 395002","","https://www.facebook.com/tradeindia","https://twitter.com/tradeindia","https://www.linkedin.com/company/tradeindia","","https://www.youtube.com/c/tradeindia","ChIJwXJnL0FO4DsRa-0tfi73w9o","-2683029173925188245","Clothing store;Clothing Accessories Store;Saree Shop","16","4.7","21.183632499999998","72.83049989999999","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","Closed"
"Zeel Clothing - a leading manufacturers, Wholesalers, Suppliers of Lehenga Choli, Sarees","096246 65566","care@zeelclothing.com","http://zeelclothing.com/","First Floor,Navjivan Industrial Society,Plot No. 41, Vesu Canal Rd, near Unique Hospital, Laxmi Nagar, Udhana,Surat, Gujarat 395002","https://www.instagram.com/zeelclothing","https://www.facebook.com/zeelclothing","https://x.com/zeelclothing","","","https://www.youtube.com/@zeelclothing","ChIJPXGtAuhO4DsRqjToUWfH9U4","5689672950822220970","Clothing manufacturer;Bridal shop;Clothing supplier;Clothing wholesale market place;Clothing wholesaler;Designer Clothing Store;Plus Size Clothing Store;Saree Shop;Vintage clothing store;Wedding store","803","4.9","21.1746285","72.8276291","10 am–7 pm","10 am–7 pm","10 am–7 pm","10 am–7 pm","10 am–7 pm","10 am–7 pm","10 am–1 pm"
"Mali Silk Mills - Wholesale Printed Sarees Manufacturer Shop Surat","099090 45720","","http://www.malisilkmills.com/","Shop No : 1057, 1st Floor,Abhishek Market Ring Rd,Abhishek Market, New Textile Market,Surat, Gujarat 395002","https://www.instagram.com/whatsapp,https://www.instagram.com/whatsapp?hl=en","https://www.facebook.com/brand,https://www.facebook.com/profile.php?id=100064758844406,https://www.facebook.com/brand/resources/whatsapp/whatsapp-brand,https://www.facebook.com/business,https://www.facebook.com/business/m/whatsapp/business-api","https://x.com/whatsapp","","","https://www.youtube.com/channel/UCAuerig2N-RZWJT8x75V9yw","ChIJe3i28bVP4DsRgOu38Dh_gVc","6305460835828886400","Saree Shop;Clothing manufacturer;Clothing wholesaler","25","5","21.1889762","72.84445769999999","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","10:30 am–9:30 pm","Closed"
"Saree Wholesale Market In Surat","093138 05705","","https://www.ajmerafashion.com/","Surana 101 Tower,6002, Sahara Darwaja Ring Rd,Sahara Darwaja, New Textile Market,Surat, Gujarat 395003","https://www.instagram.com/ajmerafashion","https://www.facebook.com/ajmerafashionofficial","","https://in.linkedin.com/company/ajmerafashionofficial","","https://www.youtube.com/watch?v=fjlA50u1zWU,https://www.youtube.com/watch?v=4fnV8QgXeoc,https://www.youtube.com/watch?v=NJHcbmXWdBU,https://www.youtube.com/c/AjmeraFashionSyntheticSareeManufacturer,https://www.youtube.com/@ajmerafashionsurat","ChIJZ1V4Sj9P4DsRhEb5gEkxEKA","-6912971236247517564","Clothing wholesaler","1","5","21.195529","72.8439638","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm"
"Krishna Creation","088667 78727","krishnacreation2049@gmail.com,info@krishnacreation.co.in","https://krishnacreation.co.in/","2049, Textile Tower Market,near Salasar Gate,Surat, Gujarat 395002","https://www.instagram.com/krishnacreationsurat,https://www.instagram.com/","https://www.facebook.com/krishnacreationsurat,https://www.facebook.com/","https://twitter.com/","https://www.linkedin.com/","","https://www.youtube.com/channel/UCAO0HA7VeMCSFnj_CyJG2HA,https://www.youtube.com/","ChIJR3eg81BO4DsRwswsCLw3Jy4","3325688130566933698","Women's clothing store;Clothing wholesaler","144","4.6","21.1915065","72.84503289999999","11 am–8 pm","11 am–8 pm","11 am–8 pm","11 am–8 pm","11 am–8 pm","11 am–8 pm","Closed"
"Saree Sansar kanjivaram saree","","","http://www.sareesansar.com/","C- 13, Sahara Darwaja Ring Rd,New TT Market, Moti Begumwadi, New Textile Market,Surat, Gujarat 395002","","","","","","","ChIJY3VsjlFO4DsRpGz41jLOy3o","8848392610649762980","Saree Shop;Silk store","30","4.9","21.1929171","72.8446428","11 am–8 pm","11 am–8 pm","11 am–8 pm","11 am–8 pm","11 am–8 pm","11 am–8 pm","Closed"
"SURAT KI SAREE","091733 66515","","http://www.facebook.com/surat.kisaree.90","5RRR+7VC,J.J. Market, Moti Begumwadi, New Textile Market,Surat, Gujarat 395002","","","","","","","ChIJtdJ4IaZP4DsR57qT2Wyfn8k","-3918237860933420313","Clothing wholesale market place","26","4","21.1906932","72.84215429999999","7 am–8 pm","7 am–8 pm","7 am–8 pm","7 am–8 pm","7 am–8 pm","7 am–8 pm","7 am–8 pm"
"Roopam Sarees","","","","7, Jay Prakash Narayan Marg,New Textile Market,Surat, Gujarat 395002","","","","","","","ChIJJVM5eE9O4DsRuKC_KMqU534","9144441164387033272","Clothing store","82","4.5","21.1863521","72.84039899999999","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–12 am","Open 24 hours"
"G3+","095138 05407","customercare@g3fashions.in","https://g3fashion.com/","G3+ Store,Sutaria Town,251/a, Ghod Dod Rd, near Jolly Shopping Point, Athwa,Surat, Gujarat 395007","https://www.instagram.com/g3fashions","https://www.facebook.com/g3fashions","","","","https://www.youtube.com/user/G3Fashions","ChIJq6pa4d9N4DsRcdEv8WQsA0k","5261097601753665905","Clothing store;Bridal shop;Childrens Store;Designer Clothing Store;Clothing Accessories Store;Men's clothing store;Saree Shop;T-shirt store;Tuxedo shop;Wedding store;Youth clothing store","37421","4.8","21.174460999999997","72.80280139999999","10:30 am–9 pm","10:30 am–9 pm","10:30 am–9 pm","10:30 am–9 pm","10:30 am–9 pm","10:30 am–9:30 pm","10:30 am–9:30 pm"
